﻿Monthly Mean Discharge (m3/s) (PARAM = 1) and Monthly Mean Water Level (m) (PARAM = 2),,,,,,,,,,,,,,,
 ID,NAME,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2012,17.05,16.98,11.79,17.63,44.79,72.68,47.46,19.73,13.85,12.93,21.59,24.19,0.972
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2013,35.29,24.76,16.79,17.47,54.94,79.36,37.92,31.86,19.84,18.73,14.57,33.80,1.114
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2014,26.48,19.42,24.19,35.64,69.59,100.00,51.20,17.28,26.21,18.28,15.57,24.72,1.208
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2015,,19.95,28.16,31.86,27.13,31.13,6.26,5.19,2.94,4.77,5.42,7.44,
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2016,17.89,,,7.59,16.90,17.82,5.04,6.30,6.91,22.01,32.77,27.55,
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2017,31.93,28.54,,33.16,58.07,52.84,7.71,4.24,1.53,0.46,4.65,6.94,
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2018,19.23,13.32,18.62,22.74,48.38,33.61,7.21,2.40,2.59,5.99,7.67,5.88,0.681
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2019,15.15,28.84,24.38,3.62,6.98,23.46,7.90,6.64,6.18,18.12,10.91,21.82,0.649
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2020,33.50,23.96,7.63,16.79,48.04,78.44,,5.95,5.15,3.66,9.19,5.57,
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2021,4.04,22.17,9.12,4.43,4.69,18.35,3.09,4.81,0.84,2.17,9.04,22.70,0.499
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2022,39.26,,7.86,1.30,1.72,37.62,25.26,5.76,4.46,4.69,,21.90,
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2023,15.03,13.32,15.57,4.43,8.32,5.95,5.04,4.08,0.42,2.21,1.03,0.00,0.435
05AD007,OLDMAN RIVER NEAR LETHBRIDGE,2024,19.84,20.53,7.40,2.75,3.28,0.84,2.29,2.94,2.10,0.15,1.53,15.53,0.443
